SPHERE	0.156715	0.396693	0.233457	0.025710
SPHERE	-0.336692	0.163410	0.109928	0.025446
SPHERE	0.203638	0.203436	-0.260767	0.024974
SPHERE	-0.184441	-0.380170	-0.288240	0.027390
SPHERE	0.096133	0.142264	-0.366010	0.025868
SPHERE	-0.466027	-0.351941	-0.291619	0.023385
SPHERE	-0.184124	0.372693	0.257006	0.023334
SPHERE	0.456256	0.380766	0.374466	0.024681
SPHERE	0.302147	0.132735	-0.329745	0.026021
SPHERE	-0.177533	0.253316	-0.134499	0.027350
SPHERE	-0.017055	0.079339	-0.476479	0.023444
SPHERE	0.171404	-0.288638	-0.099126	0.026612
SPHERE	0.328241	0.008865	-0.195164	0.024510
SPHERE	0.132575	-0.010551	0.337312	0.026901
SPHERE	-0.113655	0.119201	-0.217003	0.027279
SPHERE	0.025295	-0.318947	-0.470520	0.024832
SPHERE	0.289325	-0.325966	-0.181212	0.024772
SPHERE	0.404769	0.159102	-0.339860	0.023819
SPHERE	-0.237198	-0.338919	-0.290589	0.025030
SPHERE	-0.152846	0.084533	-0.270662	0.027214
SPHERE	-0.381938	0.008124	-0.438033	0.024098
SPHERE	0.471110	0.375346	0.175995	0.026412
SPHERE	0.021244	0.433557	0.225104	0.024905
SPHERE	-0.361474	0.230412	-0.100698	0.023537
SPHERE	0.377150	0.192595	-0.433401	0.027188
SPHERE	-0.122350	-0.298310	-0.254624	0.026766
SPHERE	-0.163047	-0.071044	0.049658	0.025921
SPHERE	-0.460175	0.252234	0.331640	0.026110
SPHERE	-0.214605	0.371145	0.335268	0.023805
SPHERE	0.271983	0.035986	0.141919	0.024467
SPHERE	-0.005588	-0.108268	-0.135664	0.024618
SPHERE	-0.352811	0.238605	0.037803	0.025895
SPHERE	-0.042597	0.077722	0.334169	0.023445
SPHERE	0.252100	-0.396011	-0.050097	0.026775
SPHERE	0.006339	0.475742	0.248421	0.023727
SPHERE	0.252027	0.105062	0.127467	0.025505
SPHERE	0.000389	-0.013013	-0.178886	0.023501
SPHERE	-0.452476	0.438873	0.090073	0.024527
SPHERE	-0.144595	0.428983	-0.348195	0.025493
SPHERE	0.193356	0.164209	0.002195	0.025315
SPHERE	-0.233707	-0.140021	0.461735	0.023996
SPHERE	-0.062428	-0.064738	-0.366702	0.023420
SPHERE	-0.064745	0.355575	-0.035660	0.027255
SPHERE	-0.012577	-0.383910	-0.249975	0.024155
SPHERE	0.078394	0.046903	-0.213994	0.027447
SPHERE	0.010563	0.349246	-0.355188	0.025863
SPHERE	0.303085	-0.228469	-0.156751	0.026912
SPHERE	0.409480	0.319465	0.173631	0.025517
SPHERE	-0.295466	0.159881	-0.278979	0.024108
SPHERE	-0.379196	-0.168610	0.061845	0.025934
SPHERE	-0.286340	-0.448346	0.216995	0.025548
SPHERE	-0.356200	0.441608	0.163197	0.026188
SPHERE	0.014821	0.422363	-0.176042	0.026279
SPHERE	0.299363	-0.057540	0.367480	0.023445
SPHERE	0.187869	-0.265556	-0.323843	0.025977
SPHERE	-0.420441	0.323656	0.299290	0.025957
SPHERE	0.008902	-0.454174	0.352138	0.024359
